,text_clean,hit_id_true,id,indictor_name,condition,reason
0,Joby Aviation 在2025年举行的 REFORPAC 演习中完成远程自主飞行验证，从关岛地面站遥控位于夏威夷上空的eVTOL飞机，验证其在高威胁环境下的无人操作能力；该演示体现其在军事物流领域的三项价值主张：效率（免除机组调机与休息限制）、接入（扩展至飞行员稀缺的小机场）、安全（规避人员风险）。,,-1,,,该文本描述了Joby Aviation在2025年REFORPAC演习中完成远程自主飞行验证，并强调其在军事物流领域的三项价值主张（效率、接入、安全）。然而，所有可用指标均聚焦于FAA取证进展、制造合作、迪拜基建与许可、诉讼风险或现金流等具体维度。该文本未提及任何指标名称或其同义概念（如FAA TIA、Stage 4审核、Conforming Aircraft、Toyota投资、迪拜售票许可、Archer诉讼、Cash Burn等），也未提供任何可与指标阈值直接比较的明确数值（如百分比增长、飞机数量、资金金额、时间点等）。虽然提到了‘2025年’和‘远程自主飞行’，但这些信息无法对应到任一指标的definition所要求的精确触发条件。因此，根据规则，该文本不满足任何bullish或bearish指标的触发条件。
1,Joby Aviation 签署协议收购位于俄亥俄州代顿地区的超70万平方英尺现成制造设施，计划到2027年将eVTOL月产量提升至4架，以支持规模化量产。,,-1,,,"该文本内容为：Joby Aviation 签署协议收购位于俄亥俄州代顿地区的超70万平方英尺现成制造设施，计划到2027年将eVTOL月产量提升至4架，以支持规模化量产。分析所有可用指标后发现：

- 文本未提及任何与 FAA TIA 相关的内容（排除指标1、6）；
- 未涉及 FAA 或公司侧 Stage 4 审核完成度的百分比数据（排除指标2、7）；
- 未提及迪拜基建或售票许可相关内容（排除指标3、8）；
- 虽然提到制造设施和量产计划，但未提及 Toyota 制造联盟最终协议签署或二期资金到账（排除指标4）；
- 未披露符合性飞机（Conforming Aircraft）数量的净增长（排除指标5）；
- 未涉及 Archer 诉讼案结果（排除指标9）；
- 未提供季度 Cash Burn 数据或融资公告（排除指标10）。

虽然文本提到了“月产量提升至4架”这一明确数值，但没有任何一个指标的定义包含对“月产量”或“制造设施面积”的阈值要求。因此，尽管信息具有积极意义，但不符合任一指标的触发条件。根据规则，必须同时满足‘提及相关指标名称（或同一概念范畴）’和‘给出可与阈值直接比较的明确数值或可推理出明确判断结果’，而本文本未覆盖任何指标的核心要素。故判定为不满足任何指标。"
2,注册号为N541JX的Joby eVTOL飞机连续三天执行试飞，其中一日完成两次航班；该系列飞行被标记为“季度间进展”与“一致性”的体现，反映平台测试节奏稳定。,,-1,,,该文本描述了注册号为N541JX的Joby eVTOL飞机连续三天执行试飞，其中一日完成两次航班，并称该系列飞行体现‘季度间进展’与‘一致性’，反映平台测试节奏稳定。然而，所有可用指标均要求文本中必须明确提及特定关键词（如FAA TIA、Stage 4审核进度、迪拜基建、Toyota协议、Conforming机队数量、Archer诉讼、现金流等）并提供可直接与阈值比较的明确数值或判断（如百分比增长、资金到账、禁令发布、烧钱率等）。本段文本未提及任何上述指标所涉及的关键概念，也未提供任何可量化或可直接比对阈值的数据（如FAA批准进度、新增符合性飞机数量、现金烧钱率等），仅泛泛描述试飞频率和节奏稳定性，不符合任一指标的触发条件。根据规则，非精确信息（如‘节奏稳定’）不能视为满足条件，因此不满足任何bullish或bearish指标。
3,"Joby的自主技术路线正明确向国防和物流场景倾斜，其FCC审批关联自主货运运行，通信系统冗余满足适航要求，运行概念覆盖至70,000英尺高度，并与美国空军后勤及自主用例直接链接；军用级自主系统可能比载人空中出租车更早实现落地。",,-1,,,"该文本未提及任何上述指标中所定义的具体事件、数值或可直接与阈值比较的明确信息。虽然提到了FCC审批、通信系统冗余、运行高度（70,000英尺）、与美国空军的链接等，但这些内容均不对应任一指标中的触发条件。例如：
- 指标1和6关注FAA TIA 'For-Credit'测试是否启动，但文本未提及FAA试飞员、TIA或计分飞行；
- 指标2和7关注FAA Stage 4审核完成度的百分比变化，但文本未提供任何完成度数值；
- 指标3和8涉及迪拜基建或运营定性，但文本未提及相关地点或官方声明；
- 其他指标如丰田投资、符合性飞机数量、诉讼、现金流等也完全未被涉及。
此外，文本中的'70,000英尺高度'虽为明确数值，但不在任何指标的定义范畴内（所有指标均未将运行高度作为判断依据）。因此，根据规则1和3，无法命中任一指标，应返回不满足。"
4,Joby与丰田的合作关系持续深化，已开展富士山示范飞行，并正推进美国本土制造规模化。“空中卡罗拉”是对其合作的类比表述。,,-1,,,文本提到'Joby与丰田的合作关系持续深化'以及'正推进美国本土制造规模化'，并使用'空中卡罗拉'作为类比表述，但并未提及任何指标中要求的明确关键词或短语（如'Manufacturing Alliance Final Agreement Signed'或'Toyota 第二期 $2.5亿 投资条件满足/到账'等），也未提供任何可与阈值直接比较的明确数值或可推理出明确判断结果的信息。虽然涉及丰田合作和制造推进，但缺乏具体协议签署、资金到位等bullish指标4所要求的精确条件；同时，文本也不包含任何bearish指标所要求的负面关键词或量化数据。因此，根据规则，该文本不满足任何一个指标的触发条件。
5,Joby Aviation参与美国空军REFORPAC演习，从关岛地面站远程操控eVTOL飞机在夏威夷完成飞行，验证了无人化与自主操作能力；该能力可提升运行效率、扩大通用航空覆盖范围，并增强高威胁环境下的安全性。,,-1,,,该文本描述了Joby Aviation参与美国空军REFORPAC演习，通过远程操控eVTOL飞机在夏威夷完成飞行，验证了无人化与自主操作能力，并提及该能力可提升运行效率、扩大通用航空覆盖范围、增强高威胁环境下的安全性。然而，所有可用的bullish或bearish指标均要求文本中必须明确提及特定事件（如FAA TIA测试启动、FAA审核进度百分比、迪拜基建完工、丰田投资到账、符合性飞机数量增加、诉讼结果、现金流数据等）并提供可与阈值直接比较的明确数值或明确判断（如'FAA pilots commenced for-credit testing'、'FAA侧完成度单季增长>10%'、'新增第6架符合性飞机'、'烧钱率突破$1.6亿'等）。本文本未提及任何上述指标所涉及的具体事件或数值，也未出现任何可与指标定义中的阈值进行直接比较的明确信息。因此，根据规则，不能判断其满足任一指标的触发条件。
6,韩国济州岛计划自2028年起商用城市空中交通（UAM），已启动垂直起降机场（vertiport）设施建设设计，并通过SK Telecom引入Joby航空器。,,-1,,,该文本提及了韩国济州岛计划自2028年起商用城市空中交通（UAM），并提到通过SK Telecom引入Joby航空器，以及启动垂直起降机场（vertiport）设施建设设计。然而，所有可用的bullish或bearish指标均聚焦于特定事件、明确数值或官方确认措辞，例如FAA TIA测试进展、FAA审核完成度百分比变化、迪拜基建与售票许可双重确认、丰田投资到账、符合性飞机数量净增长、现金流烧钱率具体数值、诉讼结果、或使用特定限定词等。本文本未提及相关指标名称（如FAA TIA、Stage 4审核、迪拜RTA/Skyports、Toyota投资、Conforming Aircraft数量、Archer诉讼、Cash Burn等），也未提供任何可与指标阈值直接比较的明确数值（如百分比、金额、飞机数量、时间点等）或可推理出明确判断结果的官方措辞（如'For-Credit Testing'、'Non-revenue'、'Final Agreement Signed'等）。虽然提到了Joby航空器和vertiport建设，但这些信息属于一般性商业合作与基础设施规划，不构成对任一指标definition中所要求的‘明确指标+明确数值/判断’的满足。因此，根据规则，该文本不满足任何指标的触发条件。
7,"Joby Aviation, Inc. (NYSE:JOBY) shares declined 2.9% on Wednesday, trading between $13.73 and $14.2950, with 27,372,140 shares exchanged, matching the average session volume of 27,439,244 shares; the stock closed the prior session at $14.72. JPMorgan Chase & Co. raised its price objective for Joby Aviation from $7.00 to $8.00 and assigned an “underweight” rating on October 31st. HC Wainwright maintained a “neutral” rating on November 24th. Morgan Stanley increased its price objective from $7.00 to $15.00 and issued an “equal weight” rating on October 9th. Needham & Company LLC reissued a “buy” rating with a $22.00 price target on November 6th. Weiss Ratings reaffirmed a “sell (d-)” rating on October 8th. One analyst has assigned a “buy” rating, five have assigned a “hold” rating, and three have assigned a “sell” rating; the average rating is “Reduce” and the consensus price target is $13.43. The stock’s 50-day moving average is $14.48 and its 200-day moving average is $15.33. Joby Aviation has a market capitalization of $13.03 billion, a P/E ratio of -10.67, and a beta of 2.56. The company reported quarterly earnings on November 5th, posting a loss of $0.48 per share on revenue of $22.57 million; this missed the consensus EPS estimate of $0.19 per share and the consensus revenue estimate of $0.02 million. Revenue increased 7962.1% year-over-year, compared to a loss of $0.21 per share in the same quarter of the prior year. Analysts project a full-year EPS of -0.69. CEO Joeben Bevirt sold 23,552 shares at an average price of $13.51 on January 2nd, receiving $318,187.52 and reducing his direct ownership to 288,814 shares valued at $3,901,877.14. Insider Kate Dehoff sold 28,260 shares at an average price of $14.72 on January 14th, receiving $415,987.20 and reducing her position to 149,369 shares valued at approximately $2,198,711.68. Insiders sold 289,556 shares worth $4,052,822 in the most recent quarter; insiders hold 32.40% of the company’s stock. CWM LLC increased its stake by 8.1% in the second quarter to 9,156 shares valued at $97,000. GPS Wealth Strategies Group LLC increased its holdings by 22.5% in the third quarter to 3,794 shares valued at $61,000. Asset Planning Inc increased its position by 70.0% in the third quarter to 1,700 shares valued at $27,000. GoalVest Advisory LLC raised its stake by 2.1% in the fourth quarter to 33,500 shares valued at $442,000. Thrivent Financial for Lutherans increased its position by 4.6% in the third quarter to 16,705 shares valued at $270,000. Institutional investors and hedge funds hold 52.85% of the company’s stock. Joby Aviation Inc is an aerospace company developing electric vertical takeoff and landing (eVTOL) aircraft for urban air mobility. Its eVTOL aircraft are designed for zero-emission aerial ridesharing, emphasizing low noise, high reliability, and point-to-point travel with a pilot and up to four passengers.",,-1,,,所提供的文本内容主要聚焦于Joby Aviation的股价表现、分析师评级、财务数据（如亏损、营收）、市场指标（如市值、P/E、beta）、内部人交易和机构持仓等信息。然而，所有列出的bullish和bearish指标均围绕特定事件或进展，例如FAA TIA测试状态、FAA审核进度、迪拜基建与许可、丰田制造协议、符合性飞机数量、Archer诉讼案结果、现金流与融资行为等。文本中未提及任何与这些具体事件相关的关键词或明确数值，例如'FAA pilots commenced for-credit testing'、'FAA approved完成度百分比'、'Ticketed / Passenger Service'、'Manufacturing Alliance Final Agreement Signed'、'Conforming Aircraft数量变化'、'Non-revenue'、'Preliminary Injunction'、'Cash Burn突破$1.6亿'等。因此，无法根据规则1（必须提及指标相关概念并提供可直接比较的明确数值或判断）确认满足任一指标的触发条件。此外，文本中的财务和市场数据虽详尽，但不属于上述指标定义范畴，故不构成满足条件的依据。
8,"Joby Aviation 在加州马里纳发布了“符合性检验员（DAR-F）”职位，年薪为133,100至204,100美元，该职位负责支持美国联邦航空管理局（FAA）的型号认证和生产认证工作，具体职责包括在生产线上代表FAA执行设计符合性检查，并签发适航批准文件（如8130-3标签），以支撑其eVTOL飞机平台的取证与量产准备。",,-1,,,"该文本描述了Joby Aviation在加州马里纳发布的一个职位招聘信息，内容涉及该职位的职责（如代表FAA执行设计符合性检查、签发适航批准文件等）以及薪资范围（133,100至204,100美元）。然而，所有提供的指标（无论是bullish还是bearish）均要求文本中包含特定事件、明确数值或官方声明，例如FAA TIA测试启动、FAA审核完成度百分比变化、基建完工与售票许可、丰田投资到账、符合性飞机数量净增长、现金流烧钱率突破阈值等。本段文本未提及任何上述指标所定义的关键要素，也未提供可与指标阈值直接比较的明确数值（如FAA侧完成度、烧钱率、飞机数量等），仅说明招聘行为和岗位职责，无法据此判断是否满足任一指标的触发条件。根据规则，非精确信息或间接推断不得视为满足条件，因此不满足任何指标。"
9,2024年5月，Joby在官方X平台发布消息称今年可能有令人兴奋的国防部消息；Joby的SmartPilot自主飞行系统已通过美国军方为期两年的测试验证；S4-T机型已完成飞行；其自主能力被视为关键军事销售优势。,,-1,,,"该文本提及了Joby在2024年5月于X平台发布的消息，包括国防部相关消息、SmartPilot系统通过美国军方两年测试、S4-T机型完成飞行，以及自主能力被视为军事销售优势。然而，所有这些内容均未涉及任何一个指标中所要求的明确条件。具体分析如下：

- 指标1和6关注FAA TIA 'For-Credit'测试是否启动或缺席，但文本未提及FAA、TIA、试飞员计分飞行等关键词；
- 指标2和7关注FAA侧Stage 4审核完成度的百分比变化，但文本未提供任何关于FAA审核进度的数值或比较；
- 指标3和8关注迪拜基建或运营性质，但文本未提及相关地点或RTA/Skyports/GCAA等主体；
- 指标4关注Toyota制造联盟协议及二期资金，文本未涉及Toyota或投资金额；
- 指标5关注FAA-Conforming机队数量净增长，文本提到S4-T完成飞行，但未说明其是否为符合性飞机（Conforming Aircraft），也未给出机队数量变化（如从第X架增至第Y架）；
- 指标9关注Archer诉讼案结果，文本完全未提及；
- 指标10关注现金烧钱率及融资行为，文本未提供任何财务数据。

综上，虽然文本包含积极信息（如军方测试通过），但未满足任一指标定义中对‘明确指标 + 明确数值/判断’的严格要求，因此不触发任何bullish或bearish指标。"
