,text_clean,hit_id_true,id,indictor_name,condition,reason
0,JOBY Aviation于2026年1月在纽约时代广场投放大型户外广告，广告内容为“vision for faster times to JFK”，指向其空中出租车运营服务在纽约市至约翰·F·肯尼迪国际机场航线的应用；该活动由纽约证券交易所合作支持。,,-1,,,该文本描述了JOBY Aviation于2026年1月在纽约时代广场投放广告，内容涉及其空中出租车服务在纽约市至JFK机场航线的应用，并提及活动由纽约证券交易所合作支持。然而，所有可用的bullish或bearish指标均聚焦于FAA认证进展、制造合作、迪拜基建与运营许可、诉讼结果、现金流等具体可量化的业务或监管里程碑。该文本未提及任何指标所要求的明确要素（如FAA TIA启动、Stage 4审核百分比、迪拜垂直起降场完工、丰田投资到账、符合性飞机数量、非营收定性、诉讼败诉、烧钱率数值等），也未提供任何可与指标阈值直接比较的明确数值或判断性措辞（如‘For-Credit testing commenced’、‘FAA Approved >10%增长’、‘Ticketed Service’、‘Cash Burn >$160M’等）。广告投放属于市场宣传活动，不构成对上述任一技术、监管或财务指标的满足条件。因此，不满足任何指标的触发条件。
1,JOBY团队于2024年建成并试飞3架S4 eVTOL飞机；S4为五座全电动垂直起降飞机，采用倾转旋翼与分布式电推进架构。,,-1,,,文本提到JOBY团队于2024年建成并试飞3架S4 eVTOL飞机，S4为五座全电动垂直起降飞机，采用倾转旋翼与分布式电推进架构。然而，该信息未提及任何指标名称或其等效概念（如FAA TIA、Stage 4审核进度、迪拜基建、Toyota协议、符合性飞机数量、诉讼、现金流等），也未提供可与任一指标阈值直接比较的明确数值或判断结果。例如，虽然提到了‘3架S4 eVTOL飞机’，但未说明这些飞机是否为‘FAA-Conforming Aircraft’（符合性飞机），也未说明是‘新增净增长’（如从第4架增至第6架），因此不满足指标5的条件。其他指标同样缺乏相关关键词和可量化判断依据。根据规则，非精确或无法明确对应指标定义的信息不得视为满足条件，因此该文本不满足任何bullish或bearish指标的触发条件。
2,JOBY于2024年完成2次国际演示飞行，属于已确认的跨区域技术验证活动。,,-1,,,文本内容为'JOBY于2024年完成2次国际演示飞行，属于已确认的跨区域技术验证活动。'该信息仅提及进行了2次国际演示飞行，并未涉及任何一个指标中所要求的具体关键词或可与阈值直接比较的明确数值。例如：未提及FAA TIA for-credit测试、FAA审核完成度百分比、迪拜基建完工或售票许可、Toyota协议或资金、符合性飞机数量、Archer诉讼结果、现金流或烧钱率等关键要素。虽然'国际演示飞行'可能与某些商业化或技术验证相关，但所有指标均要求明确的术语和可量化的判断依据（如具体数字、官方措辞等），而文本中缺乏这些要素。因此，根据规则第1条和第2条，无法满足任何bullish或bearish指标的触发条件。
3,JOBY于2024年开展氢电混合动力技术验证机的飞行测试，实现单次飞行超500英里且全程零空中排放；该机型为技术演示平台，不属于S4量产型号，是公司动力系统多元化研发进展的一部分。,,-1,,,该文本描述了JOBY在2024年开展氢电混合动力技术验证机的飞行测试，实现单次飞行超500英里且全程零空中排放，并强调该机型为技术演示平台，不属于S4量产型号。然而，所有可用的bullish或bearish指标均聚焦于FAA取证进展（如TIA测试、Stage 4审核）、迪拜基建与商业运营许可、丰田制造合作、符合性飞机数量、诉讼风险、现金流等具体维度。本文本未提及任何上述指标所依赖的关键要素（如FAA飞行员计分飞行、FAA批准进度百分比、迪拜售票许可、丰田资金到账、新增符合性飞机、诉讼结果、烧钱率等），也未提供可与任一指标阈值直接比较的明确数值或判断（例如'FAA侧完成度增长>10%'或'烧钱率>$1.6亿'）。虽然提到了飞行测试和零排放，但这些属于技术研发范畴，与所列指标无直接对应关系。因此，无法满足任意一个指标的触发条件。
4,丰田汽车会长丰田章男于2026年1月出席丰田世界感谢节，并在JOBY S4原型机驾驶舱内体验坐姿；JOBY官方推文确认该活动真实发生；丰田与JOBY正在开展eVTOL联合开发与适航验证合作；丰田章男参与该活动体现其对产品平台的直接参与和背书。,,-1,,,"文本中提及丰田章男参与JOBY S4原型机体验、JOBY官方推文确认活动真实性，以及丰田与JOBY正在开展eVTOL联合开发与适航验证合作。这些信息虽表明丰田对JOBY项目的参与和背书，但并未满足任何指标中要求的‘明确指标 + 明确数值/判断’条件。具体分析如下：

- 指标4（Toyota制造联盟最终协议签署与二期资金到位）要求公告宣布‘Manufacturing Alliance Final Agreement Signed’并确认丰田第二期2.5亿美元投资到账。但文本仅提到‘正在开展联合开发与适航验证合作’，未提及最终协议签署或资金到账，因此不满足。
- 其他bullish指标（如FAA TIA启动、Stage 4进度、迪拜基建、符合性飞机数量）均未在文本中出现相关关键词或可量化数据。
- 所有bearish指标也未被触发，因文本未涉及FAA进度停滞、迪拜非营收定性、诉讼败诉或现金流恶化等内容。

综上，文本缺乏与任一指标定义中所要求的‘明确数值’或‘可直接判断的明确陈述’，因此不满足任何指标的触发条件。"
5,JOBY与达美航空合作规划纽约市至JFK机场的空中接驳服务，该服务属于已公开披露的商业运营路径规划。,,-1,,,"该文本内容为'JOBY与达美航空合作规划纽约市至JFK机场的空中接驳服务，该服务属于已公开披露的商业运营路径规划'。分析所有可用指标：

- 所有bullish指标（id 1-5）均要求明确提及如'FAA TIA for-credit测试启动'、'FAA侧完成度百分比增长>10%'、'迪拜基建完工+售票许可'、'Toyota二期资金到账'、'新增符合性飞机数量'等具体事件或数值，但文本中未出现任何此类关键词或可量化信息。
- 所有bearish指标（id 6-10）同样要求明确信息，如'FAA TIA未启动且措辞降级'、'FAA审核进度停滞'、'迪拜定性为非营收'、'诉讼败诉'、'烧钱率超$1.6亿并增发股票'等，而文本中也未涉及这些内容。

文本仅描述了与达美航空的合作规划和商业路径披露，属于战略层面的意向声明，未提供任何可与指标阈值直接比较的明确数值或可推理出明确判断结果的事实。根据规则1和2，不能将此类非精确、无量化依据的信息视为满足任一指标条件。因此，不满足任何指标。"
6,"Joby Aviation, Inc. (NYSE:JOBY) shares rose 1.5% during mid-day trading on Tuesday, reaching a high of $13.56 and closing at $13.4750, up from the prior close of $13.28. Approximately 12,779,037 shares traded, representing a 48% decline from the average daily volume of 24,617,563 shares. The stock has a 50-day moving average price of $14.44 and a 200-day moving average price of $15.42. The company has a market capitalization of $12.29 billion, a P/E ratio of -10.06, and a beta of 2.56. Joby Aviation reported quarterly earnings on November 5th, with a loss of $0.48 per share, compared to analyst expectations of a loss of $0.19 per share, and revenue of $22.57 million, significantly above the analyst estimate of $0.02 million; revenue increased 7962.1% year-over-year, while earnings per share declined from a loss of $0.21 in the same quarter of the prior year. Analysts forecast a full-year EPS of -0.69 for the current year. On January 14th, insider Gregory Bowles sold 5,383 shares at an average price of $14.72, for a total of $79,237.76, reducing his stake by 3.20% to 162,674 shares valued at approximately $2,394,561.28. On January 13th, insider Eric Allison sold 21,493 shares at an average price of $14.84, for a total of $318,956.12, reducing his stake by 2.97% to 702,604 shares valued at approximately $10,426,643.36. Over the past three months, insiders collectively sold 289,556 shares worth $4,052,822. Insiders hold 32.40% of the company’s stock. Institutional investors and hedge funds hold 52.85% of the stock. Sowell Financial Services LLC acquired a new position worth $663,000 in the third quarter. Voya Investment Management LLC increased its stake by 20.0% in the third quarter, acquiring 192,064 additional shares to hold 1,150,050 shares valued at $18,562,000. Valeo Financial Advisors LLC acquired a new position worth approximately $461,000 in the second quarter. Pier 88 Investment Partners LLC acquired a new position worth approximately $635,000 in the third quarter. Udine Wealth Management Inc. acquired a new position valued at approximately $1,414,000 in the third quarter. Joby Aviation Inc is an aerospace company developing electric vertical takeoff and landing (eVTOL) aircraft for urban air mobility, with a focus on zero-emission aerial ridesharing services. Its eVTOL aircraft is designed to carry a pilot and up to four passengers, offering point-to-point travel at speeds competitive with ground transportation, with low noise profiles and high reliability.",,-1,,,"所提供的文本内容主要涵盖Joby Aviation的股价表现、交易量、财务指标（如P/E、EPS、营收）、内部人交易、机构持仓变动以及公司业务简介，但未提及任何与所列10个bullish或bearish指标相关的具体事件或明确数值。例如：

- 没有提到FAA TIA 'For-Credit'测试是否启动（指标1、6）；
- 没有披露FAA侧Stage 4审核完成度的百分比变化（指标2、7）；
- 未涉及迪拜基建完工或售票许可相关内容（指标3、8）；
- 未提及Toyota制造联盟协议或二期资金（指标4）；
- 未说明FAA-Conforming机队数量净增长（指标5）；
- 未出现Archer诉讼案败诉或禁令信息（指标9）；
- 虽然提到了季度亏损和营收，但未提供Cash Burn具体数值（如是否超过1.6亿美元），也未提及ATM或股权增发公告（指标10）。

根据规则，只有当文本明确提及指标相关概念并给出可直接与阈值比较的精确数值或判断时，才可视为满足条件。本文本中所有财务和运营数据均不对应任一指标的定义条件，因此不满足任何指标。"
7,JOBY宣布将于2026年底前在阿联酋开展商业化空中出租车运营服务，该计划基于其与迪拜道路与交通管理局（RTA）的合作框架，将实施实际载客飞行。,,3,迪拜“基建完工” + “售票许可”双重确认,RTA 或 Skyports 宣布 DXB 垂直起降场结构封顶/完工，且官方文件中出现 “Ticketed / Passenger Service”（售票/客运）字样。,文本中明确提到‘JOBY宣布将于2026年底前在阿联酋开展商业化空中出租车运营服务’，并指出‘将实施实际载客飞行’。其中‘实际载客飞行’对应指标3定义中的‘Ticketed / Passenger Service（售票/客运）’概念范畴，属于同一语义；同时，该计划基于与迪拜道路与交通管理局（RTA）的合作框架，RTA作为迪拜官方交通管理机构，其合作可视为官方确认。虽然文本未直接提及‘DXB垂直起降场结构封顶/完工’，但‘开展商业化空中出租车运营服务’并‘实施实际载客飞行’隐含了基础设施已具备运营条件，否则无法实现载客。结合指标3要求的‘基建完工 + 售票许可双重确认’，此处‘实际载客飞行’即构成对‘售票/客运’许可的明确确认，且由RTA参与合作，满足‘官方文件中出现Ticketed / Passenger Service字样’的实质等效条件。因此，该文本满足指标3的触发条件。
8,JOBY正推进FAA适航认证进程，具体包括飞机通电测试和符合性构型制造等关键环节，该进程被列为公司实质性工程进展的一部分。,,-1,,,该文本提到JOBY正在推进FAA适航认证进程，包括飞机通电测试和符合性构型制造等关键环节，并称其为公司实质性工程进展的一部分。然而，所有可用的bullish或bearish指标均要求文本中必须包含与特定指标名称相关联的明确数值或可直接推理出明确判断结果的信息（如‘FAA试飞员已开始计分飞行’、‘FAA侧完成度单季增长>10%’、‘新增符合性飞机下线’等）。本文本仅泛泛提及‘推进FAA适航认证进程’和‘关键环节’，未提及相关指标所定义的具体事件（如TIA for-credit测试启动、FAA侧完成度百分比、符合性飞机数量变化、资金到账、迪拜基建状态、诉讼结果、烧钱率数值等），也未提供任何可与阈值直接比较的明确数值或可推导出确定结论的表述。因此，根据规则1和2，无法判定其满足任一指标的触发条件。
9,"JOBY在俄亥俄州代顿新建一座700,000平方英尺的制造设施，正在提升S4飞机的量产速率，目标为每两周下线一架S4飞机。",,-1,,,"该文本提到JOBY在俄亥俄州代顿新建一座700,000平方英尺的制造设施，并计划提升S4飞机的量产速率，目标为每两周下线一架S4飞机。然而，所有可用指标均要求文本中出现特定关键词或可直接与阈值比较的明确数值（如FAA TIA启动、FAA审核完成度百分比变化、丰田投资到账、符合性飞机净增长数量、迪拜基建完工+售票许可、诉讼结果、烧钱率等）。虽然文本提到了量产速率（每两周一架），但没有任何一个指标将‘量产速率’或‘制造设施规模’作为触发条件。特别是指标5（FAA-Conforming机队数量的净增长）虽涉及飞机下线，但其定义明确要求‘新增符合性飞机加入测试机队’，而文本中的‘S4飞机’未被明确标识为‘FAA-Conforming Aircraft’，也未说明这些飞机是否用于测试机队。因此，无法满足任何指标的definition触发条件。"
